D1L4 PFR, Data Set 2

k*_2 remained constant at       1.00  (value at 300 K)
Ea_2 remained constant at      100.0  kJ/mol
n_2 remained constant at       2.00  dimensionless
a_2 remained constant at       1.00  dimensionless
b_2 remained constant at       4.00  dimensionless
flow in._2 remained constant at      0.500  m3/s
T_2 remained constant at      300.0  K
tau_2 remained constant at      0.200  s
V_2 has units of m3
conv_2 has units of (dimensionless)
flow_2 has units of m3/s

V_2	conv_2	flow_2
0	0	0.500
1.00E-3	6.25E-2	0.594
2.00E-3	0.105	0.658
3.00E-3	0.138	0.708
4.00E-3	0.166	0.748
5.00E-3	0.189	0.783
6.00E-3	0.209	0.813
7.00E-3	0.227	0.840
8.00E-3	0.243	0.865
9.00E-3	0.258	0.886
1.00E-2	0.271	0.907
1.10E-2	0.284	0.925
1.20E-2	0.295	0.943
1.30E-2	0.306	0.959
1.40E-2	0.316	0.974
1.50E-2	0.326	0.989
1.60E-2	0.335	1.00
1.70E-2	0.344	1.01
1.80E-2	0.352	1.03
1.90E-2	0.359	1.04
2.00E-2	0.367	1.05
2.10E-2	0.374	1.06
2.20E-2	0.381	1.07
2.30E-2	0.387	1.08
2.40E-2	0.394	1.09
2.50E-2	0.400	1.10
2.60E-2	0.406	1.11
2.70E-2	0.411	1.12
2.80E-2	0.417	1.13
2.90E-2	0.422	1.13
3.00E-2	0.427	1.14
3.10E-2	0.432	1.15
3.20E-2	0.437	1.16
3.30E-2	0.442	1.16
3.40E-2	0.446	1.17
3.50E-2	0.451	1.18
3.60E-2	0.455	1.18
3.70E-2	0.459	1.19
3.80E-2	0.463	1.20
3.90E-2	0.467	1.20
4.00E-2	0.471	1.21
4.10E-2	0.475	1.21
4.20E-2	0.479	1.22
4.30E-2	0.482	1.22
4.40E-2	0.486	1.23
4.50E-2	0.489	1.23
4.60E-2	0.493	1.24
4.70E-2	0.496	1.24
4.80E-2	0.499	1.25
4.90E-2	0.503	1.25
5.00E-2	0.506	1.26
5.10E-2	0.509	1.26
5.20E-2	0.512	1.27
5.30E-2	0.515	1.27
5.40E-2	0.518	1.28
5.50E-2	0.520	1.28
5.60E-2	0.523	1.28
5.70E-2	0.526	1.29
5.80E-2	0.529	1.29
5.90E-2	0.531	1.30
6.00E-2	0.534	1.30
6.10E-2	0.536	1.30
6.20E-2	0.539	1.31
6.30E-2	0.541	1.31
6.40E-2	0.544	1.32
6.50E-2	0.546	1.32
6.60E-2	0.549	1.32
6.70E-2	0.551	1.33
6.80E-2	0.553	1.33
6.90E-2	0.555	1.33
7.00E-2	0.558	1.34
7.10E-2	0.560	1.34
7.20E-2	0.562	1.34
7.30E-2	0.564	1.35
7.40E-2	0.566	1.35
7.50E-2	0.568	1.35
7.60E-2	0.570	1.36
7.70E-2	0.572	1.36
7.80E-2	0.574	1.36
7.90E-2	0.576	1.36
8.00E-2	0.578	1.37
8.10E-2	0.580	1.37
8.20E-2	0.582	1.37
8.30E-2	0.584	1.38
8.40E-2	0.586	1.38
8.50E-2	0.587	1.38
8.60E-2	0.589	1.38
8.70E-2	0.591	1.39
8.80E-2	0.593	1.39
8.90E-2	0.594	1.39
9.00E-2	0.596	1.39
9.10E-2	0.598	1.40
9.20E-2	0.599	1.40
9.30E-2	0.601	1.40
9.40E-2	0.603	1.40
9.50E-2	0.604	1.41
9.60E-2	0.606	1.41
9.70E-2	0.607	1.41
9.80E-2	0.609	1.41
9.90E-2	0.610	1.42
0.100	0.612	1.42
